Scale,HT,ML,,HT,ML,Differences,True Count,HT,ML,,,weight estimates using equation,,HT,ML,Error,Error,,HT,ML,truth,,Label Ground Truth,,,
1.45,4293.482759,3003.935917,,0.6410040792,0.6951863363,0.05418225718,30,30,30,,,,,1.456985398,1.480702734,-0.01,-0.03,,,,,,0.653768639,1.47008374,-0.02,0.0003391885776
1.40,4282.068966,2901.512143,,0.6393000341,0.6714828984,0.03218286429,30,30,30,,,,,1.451928885,1.418160682,-0.06,-0.02,,,,,,0.6419514278,1.435530491,-0.04,0.001510396809
1.39,4088.964286,2664.172672,,0.6104700855,0.6165565745,0.006086488992,30,30,30,,,,,1.366380076,1.273236344,0.03,0.12,,,,,,0.6200498326,1.371490739,0.02,0.000407068074
1.16,3661.928571,2463.943264,,0.5467149361,0.5702184527,0.02350351661,30,30,30,,,,,1.177195656,1.150972171,-0.01,0.01,,,,,,0.5560912803,1.184477428,-0.02,0.0004470727243
1.31,3932.037037,2602.817367,,0.5870413186,0.6023574136,0.01531609496,30,30,30,,,,,1.296858512,1.23577154,0.01,0.07,,,,,,0.5990824629,1.31018264,0.00,0.000003419935856
1.35,4073.28,2646.843268,,0.6081284687,0.6125461144,0.00441764567,30,30,29,,,,,1.359431658,1.262654655,-0.01,0.09,,,,,,0.6138621899,1.353398216,0.00,0.000000004209765965
1.40,4172.461538,2794.601037,,0.6229359745,0.646740979,0.02380500453,30,30,29,,,,,1.403370844,1.352878573,0.00,0.05,,,,,,0.6291059567,1.397970634,0.00,0.000004118328155
1.25,3848.285714,2588.79801,,0.5745374977,0.5991129817,0.02457548396,30,30,30,,,,,1.259755186,1.227211033,-0.01,0.02,,,,,,0.5880474661,1.277916568,-0.03,0.0007793347485
1.11,4273.724138,2967.485589,,0.5162297404,0.555628671,0.03939893061,30,30,30,,,,,1.086735135,1.112476704,0.03,0.00,,,,,,0.5235698185,1.089385434,0.02,0.0005735018759
0.96,3897.166667,2782.759941,,0.4707447817,0.521040848,0.05029606624,30,30,30,,,,,0.9517649309,1.021215958,0.01,-0.06,,,,,,0.4835784734,0.9724516767,-0.01,0.0001163164413
